ghgrp_facility_id,oris_code
1000001,54537
1000019,57937
1000031,57403
1000033,50300
1000034,10861
1000036,57908
1000036,57929
1000049,55478
1000050,55479
1000051,57483
1000052,55481
1000053,57504
1000055,50797
1000057,55494
1000058,55499
1000059,55501
1000060,55504
1000061,55505
1000065,55510
1000067,55512
1000068,55514
1000069,55517
1000070,55518
1000071,55524
1000074,55538
1000075,55540
1000076,55544
1000078,55558
1000080,55625
1000081,55626
1000082,55627
1000084,136
1000085,70454
1000087,10030
1000088,880004
1000089,880007
1000091,581
1000092,880023
1000093,880024
1000095,55239
1000096,55281
1000097,55306
1000098,55320
1000099,880088
1000100,55372
1000101,55405
1000102,55182
1000106,55503
1000107,55412
1000108,7915
1000109,2869
1000110,7380
1000111,7909
1000112,7910
1000113,8053
1000114,7912
1000115,55192
1000116,7914
1000117,55622
1000118,7947
1000119,7948
1000120,7953
1000121,7962
1000122,10294
1000123,10349
1000124,50729
1000125,55694
1000126,55683
1000127,55690
1000128,55541
1000129,55672
1000130,55698
1000131,55699
1000132,55243
1000133,55656
1000135,55640
1000136,55641
1000138,55502
1000141,55645
1000144,55662
1000145,55664
1000146,55667
1000147,55542
1000148,55654
1000149,10075
1000150,55322
1000151,7964
1000152,55395
1000153,55736
1000155,1011
1000156,10474
1000157,55749
1000158,880041
1000159,50730
1000161,7307
1000162,7967
1000163,7981
1000164,8016
1000165,50240
1000166,50254
1000168,55397
1000169,55417
1000170,55661
1000171,55706
1000172,55708
1000173,55718
1000174,55738
1000175,55748
1000177,54207
1000179,880049
1000180,880050
1000181,7975
1000182,7984
1000183,10244
1000185,55714
1000186,880028
1000188,508
1000190,7988
1000192,2103
1000199,2243
1000200,1016
1000203,7925
1000207,7999
1000208,55262
1000209,7783
1000211,2039
1000219,4005
1000221,6635
1000222,7972
1000223,7985
1000224,7987
1000225,10378
1000226,10379
1000227,10381
1000228,50188
1000229,50189
1000230,50244
1000231,10384
1000232,50481
1000233,50732
1000234,54276
1000235,54532
1000236,55096
1000237,55522
1000241,147
1000244,55733
1000246,2847
1000248,55799
1000249,7991
1000250,8068
1000251,10151
1000252,10377
1000253,10743
1000254,50491
1000255,50815
1000256,50900
1000257,52007
1000258,52152
1000259,54304
1000260,54344
1000261,54556
1000262,54802
1000263,54844
1000264,55496
1000265,55516
1000266,55600
1000267,55786
1000268,55787
1000269,55801
1000270,55802
1000271,55835
1000272,50151
1000273,50479
1000274,880042
1000275,880053
1000276,880057
1000277,55927
1000278,55687
1000279,55847
1000280,55855
1000281,10670
1000282,55308
1000283,55807
1000284,8000
1000285,55867
1000288,2679
1000290,880052
1000294,10071
1000295,54081
1000296,10797
1000298,7989
1000300,55810
1000301,55818
1000302,3806
1000302,7032
1000303,7212
1000305,54216
1000307,880043
1000310,56026
1000311,50956
1000312,52087
1000314,55875
1000315,880071
1000316,880072
1000317,8031
1000318,10633
1000319,50806
1000320,54035
1000321,55963
1000322,55969
1000323,55970
1000324,57470
1000324,880074
1000325,880075
1000333,1730
1000334,10867
1000340,887
1000341,No Match
1000343,880076
1000345,50466
1000346,10298
1000347,10745
1000348,2440
1000353,880078
1000362,10435
1000364,10
1000373,55938
1000375,6139
1000377,50245
1000395,3604
1000396,50044
1000398,55241
1000401,880079
1000402,7345
1000404,55841
1000407,10729
1000408,880045
1000409,10698
1000410,55985
1000411,880083
1000412,50555
1000413,880086
1000414,56013
1000415,880087
1000417,7818
1000418,50733
1000419,52176
1000420,56032
1000421,56031
1000422,10169
1000423,55951
1000424,8027
1000426,7737
1000431,330
1000432,54547
1000433,55836
1000436,56102
1000437,56104
1000438,56135
1000444,56177
1000445,56166
1000446,56224
1000447,56232
1000448,6463
1000449,56151
1000450,56234
1000451,56238
1000452,880092
1000453,10034
1000454,56237
1000455,56227
1000456,56188
1000457,56046
1000458,56239
1000459,56249
1000460,56150
1000461,52168
1000462,56292
1000463,55977
1000464,56078
1000465,56319
1000466,10866
1000467,56196
1000468,2038
1000469,55853
1000470,56326
1000471,56143
1000472,50109
1000475,55976
1000481,56349
1000482,10464
1000483,56350
1000484,56397
1000485,56298
1000486,56445
1000487,56328
1000488,56241
1000489,56482
1000490,341
1000491,56068
1000492,10333
1000493,56505
1000496,10672
1000498,1206
1000499,52071
1000499,6648
1000501,56467
1000502,56556
1000503,10741
1000504,52088
1000505,50976
1000506,50864
1000507,50865
1000510,4014
1000512,6074
1000513,50030
1000515,56472
1000516,56473
1000517,56474
1000518,56475
1000519,56471
1000520,8029
1000521,6063
1000528,56596
1000529,1439
1000530,56604
1000531,56603
1000532,672
1000534,50835
1000535,6061
1000538,56629
1000539,56456
1000540,9
1000541,56569
1000542,56674
1000544,56799
1000545,56639
1000546,56803
1000547,56806
1000548,56914
1000549,10812
1000550,56807
1000551,55833
1000552,56808
1000553,10485
1000555,56964
1000558,56998
1000559,50707
1000560,57001
1000561,56786
1000562,56609
1000563,56606
1000564,No Match
1000565,57029
1000566,57027
1000567,880100
1000570,3611
1000572,54238
1000573,1401
1000574,171
1000576,4151
1000577,54579
1000578,54578
1000579,460
1000580,10883
1000581,6068
1000582,1250
1000583,56502
1000584,1248
1000585,1242
1000586,55651
1000589,10360
1000591,No Match
1000594,10350
1000595,10761
1000596,10349
1000597,10294
1000598,4150
1000617,No Match
1000623,50657
1000624,57099
1000630,880093
1000643,1296
1000644,1556
1000645,1559
1000646,1560
1000647,1564
1000648,1570
1000649,1571
1000650,1572
1000651,1573
1000653,1588
1000655,1592
1000655,59882
1000656,1594
1000657,1595
1000658,1599
1000659,1606
1000660,1613
1000661,1626
1000663,1642
1000665,1660
1000666,1678
1000667,1682
1000668,1695
1000669,7900
1000670,1710
1000672,1723
1000673,1726
1000674,1728
1000676,1733
1000677,1740
1000678,1743
1000679,1745
1000680,1769
1000681,1830
1000682,1831
1000682,58427
1000683,1832
1000684,1843
1000685,1888
1000686,1891
1000687,1893
1000688,1897
1000689,1904
1000690,1912
1000691,1915
1000693,1927
1000694,1943
1000695,2008
1000696,2047
1000697,2048
1000698,2049
1000699,2050
1000700,2051
1000701,2052
1000702,2053
1000703,2070
1000705,2079
1000706,2094
1000707,2104
1000709,2123
1000713,2161
1000715,2167
1000716,2168
1000717,2169
1000718,2176
1000720,2187
1000722,2240
1000725,2292
1000726,2322
1000727,2326
