name	lat	lon	region
Abernethy	56.339	-3.294	north_scotland
Aberthaw	51.385	-3.403	england_wales
Abham	50.472	-3.729	england_wales
Acton Lane 22kV	51.535	-0.257	england_wales
Acton Lane 66kV	51.535	-0.257	england_wales
Alness	57.708	-4.274	north_scotland
Alpha Steel (Uskmouth)	51.549	-2.976	england_wales
Alverdiscott	51.006	-4.137	england_wales
Amersham Main	51.664	-0.655	england_wales
Arbroath	56.564	-2.619	north_scotland
Ardkinglas	56.287	-4.956	north_scotland
Ardmore	57.554	-6.645	north_scotland
Axminster	50.787	-2.924	england_wales
Axminster H	50.787	-2.924	england_wales
Ayr	55.457	-4.587	south_scotland
Bainsford	56.014	-3.768	south_scotland
Barking	51.518	0.113	england_wales
Barking West	51.516	0.107	england_wales
Bathgate	55.9	-3.674	south_scotland
Beauly	57.468	-4.49	north_scotland
Beddington LPN	51.374	-0.129	england_wales
Beddington SPN	51.374	-0.129	england_wales
Berkswell	52.387	-1.614	england_wales
Berryburn	57.504	-3.599	north_scotland
Berwick	55.777	-2.079	south_scotland
Bicker Fen	52.931	-0.221	england_wales
Birkenhead	53.366	-3.061	england_wales
Bishops Wood	52.312	-2.243	england_wales
Blyth 132kV	55.141	-1.531	england_wales
Blyth 66kV	55.141	-1.531	england_wales
Boat of Garten	57.249	-3.723	north_scotland
Bolney	50.974	-0.236	england_wales
Bonnybridge	56.007	-3.86	south_scotland
Botley Wood	50.885	-1.233	england_wales
Braco West	56.276	-3.878	north_scotland
Bradford West	53.81	-1.867	england_wales
Braehead Park	55.881	-4.381	south_scotland
Braintree	51.865	0.576	england_wales
Bramford	52.07	1.063	england_wales
Bramley	51.335	-1.077	england_wales
Bredbury	53.415	-2.131	england_wales
Bridge of Dun	56.72	-2.557	north_scotland
Bridgewater	51.117	-2.969	england_wales
Brimsdown	51.664	-0.025	england_wales
Broadford	57.248	-5.936	north_scotland
Brora	58.02	-3.875	north_scotland
Broxburn	55.919	-3.453	south_scotland
Burghmuir	56.397	-3.488	north_scotland
Burwell Main	52.28	0.312	england_wales
Bushbury	52.636	-2.115	england_wales
Bustleholme	52.553	-1.964	england_wales
Cairnford	57.452	-2.85	north_scotland
Camblesforth 66kV (Drax)	53.729	-1.001	england_wales
Canal Bank (Willesden 66kV)	51.535	-0.257	england_wales
Canterbury	51.292	1.094	england_wales
Capenhurst	53.266	-2.948	england_wales
Cardiff East	51.495	-3.145	england_wales
Carntyne	55.857	-4.197	south_scotland
Carradale	55.59	-5.502	north_scotland
Carrington	53.435	-2.4	england_wales
Carsfad	55.144	-4.189	south_scotland
Cassley	56.542	-4.517	north_scotland
Ceannacroc	57.154	-4.937	north_scotland
Cellarhead	53.041	-2.086	england_wales
Chapelcross	55.014	-3.221	south_scotland
Charleston	56.474	-3.045	north_scotland
Charlotte Street	55.855	-4.239	south_scotland
Chessington	51.343	-0.323	england_wales
Chesterfield	53.224	-1.387	england_wales
Chickerell	50.624	-2.489	england_wales
City Road	51.531	-0.096	england_wales
Clachan	56.277	-4.922	north_scotland
Clacton (Bramford)	51.826	1.179	england_wales
Clayhills	57.14	-2.099	north_scotland
Clyde’s Mill	55.822	-4.149	south_scotland
Coatbridge	55.851	-4.013	south_scotland
Cockenzie	55.967	-2.967	south_scotland
Connah's Quay	53.228	-3.073	england_wales
Coupar Angus	56.538	-3.273	north_scotland
Coventry	52.456	-1.464	england_wales
Cowley	51.71	-1.191	england_wales
Coylton	55.447	-4.429	south_scotland
Craigiebuckler	57.131	-2.153	north_scotland
Creyke Beck	53.801	-0.414	england_wales
Crookston A	55.821	-4.364	south_scotland
Crookston B	55.821	-4.364	south_scotland
Cumbernauld	55.947	-3.964	south_scotland
Cupar	56.314	-3.035	south_scotland
Currie	55.902	-3.309	south_scotland
Dallas	57.557	-3.42	north_scotland
Dalmarnock	55.835	-4.204	south_scotland
Devol Moor	55.927	-4.677	south_scotland
Devonside	56.137	-3.779	south_scotland
Dewar Place	55.947	-3.209	south_scotland
Dounreay	58.576	-3.754	north_scotland
Drakelow	52.773	-1.649	england_wales
Drax 132kV	53.732	-0.993	england_wales
Drumchapel	55.916	-4.349	south_scotland
Drumcross	55.906	-3.588	south_scotland
Dudhope	56.462	-2.95	north_scotland
Dumfries 11	55.062	-3.583	south_scotland
Dumfries 33	55.062	-3.583	south_scotland
Dumfries ICI	55.062	-3.583	south_scotland
Dunbar	55.977	-2.573	south_scotland
Dunbar A	55.977	-2.573	south_scotland
Dunbar B	55.977	-2.573	south_scotland
Dunbeath	58.253	-3.43	north_scotland
Dunfermline	56.09	-3.449	south_scotland
Dunoon	55.975	-4.94	north_scotland
Dunvegan	57.428	-6.531	north_scotland
Dyce	57.211	-2.181	north_scotland
Ealing	51.502	-0.297	england_wales
Earlstoun	55.11	-4.169	south_scotland
East Claydon	51.927	-0.908	england_wales
East Kilbride	55.785	-4.192	south_scotland
East Kilbride South	55.74	-4.161	south_scotland
Easterhouse	55.879	-4.073	south_scotland
Eaton Socon	52.215	-0.303	england_wales
Eccles	55.668	-2.328	south_scotland
Elderslie	55.84	-4.463	south_scotland
Elgin	57.662	-3.317	north_scotland
Elland	53.695	-1.823	england_wales
