state	county_name	lat	lon	county_fips
AL	Autauga County	32.532237	-86.64644	01001
AL	Baldwin County	30.659218	-87.746067	01003
AL	Barbour County	31.870253	-85.405104	01005
AL	Bibb County	33.015893	-87.127148	01007
AL	Blount County	33.977358	-86.56644	01009
AL	Bullock County	32.101759	-85.717261	01011
AL	Butler County	31.751667	-86.681969	01013
AL	Calhoun County	33.770516	-85.827909	01015
AL	Chambers County	32.915504	-85.394032	01017
AL	Cherokee County	34.069515	-85.654242	01019
AL	Chilton County	32.854051	-86.726607	01021
AL	Choctaw County	31.990954	-88.248889	01023
AL	Clarke County	31.685521	-87.818624	01025
AL	Clay County	33.2704	-85.863525	01027
AL	Cleburne County	33.671964	-85.516126	01029
AL	Coffee County	31.402258	-85.989602	01031
AL	Colbert County	34.703112	-87.801457	01033
AL	Conecuh County	31.430926	-86.988722	01035
AL	Coosa County	32.931445	-86.243482	01037
AL	Covington County	31.243987	-86.448721	01039
AL	Crenshaw County	31.730311	-86.320038	01041
AL	Cullman County	34.131923	-86.869267	01043
AL	Dale County	31.430654	-85.609476	01045
AL	Dallas County	32.333526	-87.11436	01047
AL	DeKalb County	34.460915	-85.804021	01049
AL	Elmore County	32.597229	-86.142735	01051
AL	Escambia County	31.122287	-87.16841	01053
AL	Etowah County	34.047641	-86.034263	01055
AL	Fayette County	33.716157	-87.764292	01057
AL	Franklin County	34.441989	-87.842814	01059
AL	Geneva County	31.092382	-85.821022	01061
AL	Greene County	32.844497	-87.9642	01063
AL	Hale County	32.752796	-87.623061	01065
AL	Henry County	31.516978	-85.239971	01067
AL	Houston County	31.158183	-85.296411	01069
AL	Jackson County	34.764114	-85.980056	01071
AL	Jefferson County	33.553444	-86.896536	01073
AL	Lamar County	33.787085	-88.087431	01075
AL	Lauderdale County	34.904168	-87.651108	01077
AL	Lawrence County	34.529776	-87.321865	01079
AL	Lee County	32.604064	-85.353048	01081
AL	Limestone County	34.810239	-86.981399	01083
AL	Lowndes County	32.147888	-86.650586	01085
AL	Macon County	32.387027	-85.692887	01087
AL	Madison County	34.764238	-86.55108	01089
AL	Marengo County	32.247591	-87.791091	01091
AL	Marion County	34.138219	-87.881551	01093
AL	Marshall County	34.309564	-86.321668	01095
AL	Mobile County	30.684572	-88.196568	01097
AL	Monroe County	31.580353	-87.383342	01099
AL	Montgomery County	32.202881	-86.204461	01101
AL	Morgan County	34.454484	-86.846402	01103
AL	Perry County	32.639005	-87.293827	01105
AL	Pickens County	33.2968	-88.096864	01107
AL	Pike County	31.798653	-85.941608	01109
AL	Randolph County	33.296461	-85.464064	01111
AL	Russell County	32.289811	-85.18698	01113
AL	St. Clair County	33.719491	-86.311327	01115
AL	Shelby County	33.266893	-86.661007	01117
AL	Sumter County	32.597481	-88.200057	01119
AL	Talladega County	33.369314	-86.17593	01121
AL	Tallapoosa County	32.863308	-85.799618	01123
AL	Tuscaloosa County	33.29022	-87.522783	01125
AL	Walker County	33.791558	-87.301094	01127
AL	Washington County	31.408503	-88.212404	01129
AL	Wilcox County	31.990082	-87.304935	01131
AL	Winston County	34.154566	-87.365346	01133
AK	Aleutians East Borough	55.245044	-161.997477	02013
AK	Aleutians West Census Area	51.948964	+179.621188	02016
AK	Anchorage Municipality	61.17425	-149.284329	02020
AK	Bethel Census Area	60.929141	-160.152625	02050
AK	Bristol Bay Borough	58.730546	-156.994473	02060
AK	Chugach Census Area	60.488474	-146.203092	02063
AK	Copper River Census Area	62.034479	-143.922167	02066
AK	Denali Borough	63.682039	-150.027016	02068
AK	Dillingham Census Area	59.543326	-158.267123	02070
AK	Fairbanks North Star Borough	64.670454	-146.496061	02090
AK	Haines Borough	59.098404	-135.575791	02100
AK	Hoonah-Angoon Census Area	58.403336	-135.884909	02105
AK	Juneau City and Borough	58.37291	-134.178445	02110
AK	Kenai Peninsula Borough	60.366668	-152.322283	02122
AK	Ketchikan Gateway Borough	55.449938	-131.106685	02130
AK	Kodiak Island Borough	57.7044	-153.918372	02150
AK	Kusilvak Census Area	62.283588	-163.190171	02158
AK	Lake and Peninsula Borough	58.108507	-156.413413	02164
AK	Matanuska-Susitna Borough	62.265626	-149.503993	02170
AK	Nome Census Area	64.783686	-164.188912	02180
AK	North Slope Borough	69.449343	-153.47283	02185
AK	Northwest Arctic Borough	67.005066	-160.021086	02188
AK	Petersburg Borough	57.112458	-133.008598	02195
AK	Prince of Wales-Hyder Census Area	55.682773	-133.162389	02198
AK	Sitka City and Borough	57.193204	-135.367396	02220
AK	Skagway Municipality	59.560379	-135.338279	02230
AK	Southeast Fairbanks Census Area	63.864997	-143.218628	02240
AK	Wrangell City and Borough	56.180779	-132.026788	02275
AK	Yakutat City and Borough	60.017508	-140.416847	02282
AK	Yukon-Koyukuk Census Area	65.375656	-151.578176	02290
AZ	Apache County	35.385084	-109.490172	04001
AZ	Cochise County	31.840129	-109.775163	04003
AZ	Coconino County	35.829692	-111.773728	04005
AZ	Gila County	33.789618	-110.81187	04007
AZ	Graham County	32.931828	-109.87831	04009
AZ	Greenlee County	33.238872	-109.242323	04011
AZ	La Paz County	33.72761	-114.038806	04012
AZ	Maricopa County	33.345176	-112.49893	04013
AZ	Mohave County	35.717705	-113.749689	04015
AZ	Navajo County	35.390785	-110.321025	04017
AZ	Pima County	32.128038	-111.783657	04019
AZ	Pinal County	32.918521	-111.366339	04021
AZ	Santa Cruz County	31.525733	-110.845228	04023
AZ	Yavapai County	34.631071	-112.577225	04025
AZ	Yuma County	32.773942	-113.910905	04027
AR	Arkansas County	34.28957	-91.376547	05001
AR	Ashley County	33.190835	-91.772267	05003
AR	Baxter County	36.280268	-92.329949	05005
AR	Benton County	36.337819	-94.256298	05007
AR	Boone County	36.304299	-93.079236	05009
AR	Bradley County	33.466549	-92.169156	05011
AR	Calhoun County	33.56046	-92.513879	05013
AR	Carroll County	36.33737	-93.540972	05015
AR	Chicot County	33.267139	-91.297158	05017
AR	Clark County	34.053316	-93.176208	05019
AR	Clay County	36.367302	-90.418704	05021
AR	Cleburne County	35.593628	-92.008898	05023
AR	Cleveland County	33.893201	-92.188714	05025
AR	Columbia County	33.223038	-93.232843	05027
AR	Conway County	35.26569	-92.689249	05029
AR	Craighead County	35.827729	-90.631421	05031
AR	Crawford County	35.582959	-94.236193	05033
AR	Crittenden County	35.197559	-90.30512	05035
AR	Cross County	35.285692	-90.763984	05037
AR	Dallas County	33.967823	-92.653999	05039
AR	Desha County	33.828752	-91.244103	05041
AR	Drew County	33.587242	-91.722778	05043
AR	Faulkner County	35.146548	-92.336928	05045
AR	Franklin County	35.508558	-93.887665	05047
AR	Fulton County	36.381322	-91.819285	05049
AR	Garland County	34.578852	-93.146932	05051
AR	Grant County	34.285568	-92.422979	05053
AR	Greene County	36.120607	-90.566346	05055
AR	Hempstead County	33.735953	-93.664355	05057
AR	Hot Spring County	34.315177	-92.944147	05059
AR	Howard County	34.083064	-93.990931	05061
AR	Independence County	35.737499	-91.559942	05063
AR	Izard County	36.094879	-91.913625	05065
AR	Jackson County	35.596467	-91.223205	05067
AR	Jefferson County	34.277239	-91.929673	05069
AR	Johnson County	35.573359	-93.466322	05071
AR	Lafayette County	33.240629	-93.611514	05073
AR	Lawrence County	36.041098	-91.101153	05075
AR	Lee County	34.779505	-90.779717	05077
AR	Lincoln County	33.956385	-91.742355	05079
AR	Little River County	33.701941	-94.236287	05081
AR	Logan County	35.218654	-93.72091	05083
AR	Lonoke County	34.755114	-91.894132	05085
AR	Madison County	36.012545	-93.724053	05087
AR	Marion County	36.266664	-92.678577	05089
AR	Miller County	33.305505	-93.901502	05091
AR	Mississippi County	35.766944	-90.052207	05093
AR	Monroe County	34.679512	-91.20331	05095
